post_id,platform,post_type,post_time,likes,comments,shares,post_day,sentiment_score
1,Facebook,image,2023-08-17 14:45:00,2121,474,628,Thursday,positive
2,Facebook,carousel,2023-05-14 00:45:00,3660,432,694,Sunday,neutral
3,Instagram,poll,2023-02-21 16:15:00,4955,408,688,Tuesday,negative
4,Twitter,image,2023-11-16 00:45:00,1183,90,187,Thursday,negative
5,Twitter,video,2023-05-23 00:30:00,3499,247,286,Tuesday,positive
6,Instagram,carousel,2023-05-05 20:00:00,256,186,211,Friday,neutral
7,Instagram,image,2023-02-26 11:45:00,1982,30,906,Sunday,positive
8,Instagram,text,2023-10-28 19:30:00,1274,45,216,Saturday,neutral
9,Facebook,video,2023-05-02 06:15:00,317,249,221,Tuesday,neutral
10,Twitter,carousel,2023-05-11 11:00:00,1878,225,438,Thursday,neutral
11,Twitter,text,2023-12-08 02:15:00,1446,44,52,Friday,negative
12,Twitter,video,2023-06-15 03:15:00,304,42,89,Thursday,positive
13,Facebook,carousel,2023-11-11 15:45:00,45,78,375,Saturday,negative
14,Twitter,text,2023-09-30 10:30:00,1333,144,123,Saturday,positive
15,Facebook,carousel,2023-01-09 20:00:00,889,314,262,Monday,positive
16,Twitter,image,2023-02-10 13:00:00,2348,154,18,Friday,neutral
17,Instagram,poll,2023-07-05 05:15:00,2872,10,736,Wednesday,positive
18,Twitter,text,2023-07-23 05:45:00,512,123,338,Sunday,neutral
19,Twitter,text,2023-11-20 02:00:00,2013,122,183,Monday,positive
20,Facebook,image,2023-02-02 16:00:00,455,86,79,Thursday,positive
21,Twitter,poll,2023-05-02 06:15:00,559,136,55,Tuesday,neutral
22,Twitter,carousel,2023-01-30 13:30:00,1961,44,439,Monday,positive
23,Twitter,text,2023-10-02 12:15:00,332,109,348,Monday,positive
24,Instagram,carousel,2023-01-01 20:00:00,5000,80,399,Sunday,positive
25,Twitter,poll,2023-05-17 00:15:00,898,130,480,Wednesday,positive
26,Facebook,carousel,2023-10-05 06:30:00,1992,70,515,Thursday,negative
27,Instagram,text,2023-10-06 10:00:00,3161,162,137,Friday,positive
28,Facebook,poll,2023-03-01 08:00:00,2083,500,388,Wednesday,neutral
29,Facebook,image,2023-01-07 10:30:00,548,153,731,Saturday,negative
30,Facebook,carousel,2023-02-03 00:30:00,4594,216,739,Friday,positive
31,Facebook,poll,2023-09-10 13:45:00,4795,449,978,Sunday,negative
32,Instagram,image,2023-07-01 14:45:00,4665,202,183,Saturday,positive
33,Twitter,video,2023-09-27 19:00:00,119,147,240,Wednesday,positive
34,Twitter,poll,2023-02-09 15:30:00,2253,162,28,Thursday,positive
35,Instagram,image,2023-06-06 19:30:00,1309,201,852,Tuesday,negative
36,Facebook,video,2023-04-08 19:15:00,5000,500,43,Saturday,positive
37,Facebook,video,2023-05-11 00:30:00,4245,59,83,Thursday,neutral
38,Twitter,poll,2023-05-02 00:30:00,2463,187,445,Tuesday,positive
39,Facebook,video,2023-01-01 06:00:00,5000,430,980,Sunday,neutral
40,Instagram,carousel,2023-08-04 12:45:00,447,333,845,Friday,negative
41,Twitter,carousel,2023-12-27 11:30:00,667,176,461,Wednesday,positive
42,Instagram,video,2023-11-23 02:00:00,4929,252,730,Thursday,negative
43,Twitter,carousel,2023-03-31 16:00:00,2586,97,85,Friday,positive
44,Instagram,text,2023-07-06 08:00:00,3259,50,177,Thursday,negative
45,Twitter,video,2023-12-01 10:00:00,2236,132,118,Friday,positive
46,Instagram,text,2023-05-16 22:15:00,2251,380,427,Tuesday,positive
47,Facebook,poll,2023-08-08 17:45:00,4726,44,993,Tuesday,negative
48,Facebook,video,2023-03-22 03:15:00,5000,232,16,Wednesday,negative
49,Twitter,image,2023-04-17 15:00:00,725,169,298,Monday,neutral
50,Instagram,text,2023-07-12 00:00:00,1551,206,127,Wednesday,negative
51,Twitter,text,2023-02-14 18:00:00,1268,73,251,Tuesday,positive
52,Twitter,image,2023-07-14 15:00:00,950,113,327,Friday,positive
53,Twitter,video,2023-11-12 17:30:00,1498,46,96,Sunday,positive
54,Instagram,image,2023-01-21 01:00:00,4297,360,825,Saturday,negative
55,Twitter,carousel,2023-10-02 23:30:00,592,34,496,Monday,neutral
56,Instagram,image,2023-03-13 23:15:00,3401,190,230,Monday,negative
57,Instagram,video,2023-07-13 09:15:00,4846,134,498,Thursday,neutral
58,Facebook,video,2023-12-27 04:00:00,2204,116,728,Wednesday,neutral
59,Twitter,video,2023-12-24 07:45:00,344,99,194,Sunday,neutral
60,Instagram,carousel,2023-05-19 04:30:00,4763,332,956,Friday,positive
61,Instagram,video,2023-12-31 22:30:00,3544,167,761,Sunday,negative
62,Facebook,carousel,2023-01-27 15:45:00,3742,227,849,Friday,negative
63,Twitter,image,2023-05-15 06:30:00,227,163,127,Monday,neutral
64,Instagram,carousel,2023-04-19 19:45:00,130,452,724,Wednesday,neutral
65,Instagram,image,2023-09-20 06:00:00,3982,314,326,Wednesday,positive
66,Facebook,text,2023-01-03 03:00:00,2265,39,318,Tuesday,positive
67,Facebook,carousel,2023-04-23 08:15:00,2026,390,165,Sunday,negative
68,Instagram,video,2023-12-28 16:45:00,560,486,677,Thursday,negative
69,Twitter,image,2023-10-14 18:45:00,187,89,284,Saturday,neutral
70,Facebook,text,2023-06-12 09:30:00,3094,86,965,Monday,negative
71,Instagram,video,2023-04-10 00:00:00,3398,261,630,Monday,neutral
72,Facebook,carousel,2023-05-05 16:45:00,1690,257,656,Friday,neutral
73,Facebook,text,2023-07-18 22:00:00,3026,11,761,Tuesday,positive
74,Instagram,video,2023-04-14 10:30:00,5000,454,744,Friday,positive
75,Facebook,video,2023-07-26 20:15:00,5000,500,404,Wednesday,positive
76,Instagram,text,2023-07-27 19:15:00,2153,81,114,Thursday,neutral
77,Twitter,carousel,2023-07-05 18:15:00,3571,102,96,Wednesday,positive
78,Instagram,poll,2023-01-19 07:15:00,2990,30,365,Thursday,positive
79,Instagram,carousel,2023-12-13 04:45:00,4678,189,785,Wednesday,positive
80,Facebook,text,2023-06-25 15:15:00,553,320,312,Sunday,positive
81,Facebook,video,2023-01-04 18:30:00,2642,33,413,Wednesday,neutral
82,Instagram,carousel,2023-11-19 12:30:00,4656,314,757,Sunday,negative
83,Instagram,video,2023-12-06 04:00:00,5000,173,792,Wednesday,negative
84,Facebook,carousel,2023-10-03 19:00:00,1203,263,417,Tuesday,negative
85,Facebook,text,2023-07-06 07:00:00,2566,368,304,Thursday,neutral
86,Twitter,text,2023-11-25 07:30:00,2416,50,62,Saturday,positive
87,Instagram,text,2023-05-23 22:30:00,15,70,454,Tuesday,neutral
88,Facebook,text,2023-05-03 12:30:00,3404,244,67,Wednesday,positive
89,Twitter,carousel,2023-05-03 08:00:00,2884,197,339,Wednesday,positive
90,Instagram,poll,2023-03-19 04:00:00,3195,109,243,Sunday,negative
91,Facebook,carousel,2023-09-15 00:45:00,3956,402,462,Friday,negative
92,Facebook,video,2023-02-23 17:15:00,1857,216,344,Thursday,positive
93,Instagram,carousel,2023-05-07 00:30:00,951,432,734,Sunday,negative
94,Facebook,image,2023-11-27 04:30:00,1694,207,290,Monday,positive
95,Instagram,poll,2023-03-07 19:15:00,3005,124,517,Tuesday,positive
96,Instagram,carousel,2023-07-12 17:45:00,36,294,911,Wednesday,positive
97,Twitter,video,2023-10-27 23:45:00,314,108,458,Friday,neutral
98,Twitter,text,2023-08-05 08:45:00,229,179,38,Saturday,positive
99,Instagram,poll,2023-12-29 12:15:00,5000,500,204,Friday,positive
100,Instagram,image,2023-06-06 21:00:00,4483,357,25,Tuesday,neutral
